Date Range,Average,Minimum,Maximum,Standard Deviation
"('2022-01-01', '2022-01-29')",0.8360601,0.83467287,0.83781713,0.0014069739
"('2022-01-29', '2022-02-26')",0.14774188,0.13666329,0.19458225,0.016555311
"('2022-02-26', '2022-03-26')",0.13098033,0.12933052,0.1338428,0.0020475425
"('2022-03-26', '2022-04-23')",0.11119521,0.10982285,0.11186256,0.0007036142
"('2022-04-23', '2022-05-21')",0.7476843,0.73995185,0.76107955,0.007076279
"('2022-05-21', '2022-06-18')",0.7505436,0.7386388,0.7615161,0.009613337
"('2022-06-18', '2022-07-16')",0.20611133,0.20382364,0.20836718,0.0017004665
"('2022-07-16', '2022-08-13')",0.2396006,0.20296954,0.27152023,0.029540073
"('2022-08-13', '2022-09-10')",0.13262676,0.13209802,0.13361964,0.00041303135
"('2022-09-10', '2022-10-08')",0.0990549,0.0974308,0.100153446,0.00075518456
"('2022-10-08', '2022-11-05')",0.1711487,0.17095155,0.17134583,0.00019714236
"('2022-11-05', '2022-12-03')",0.9303972,0.9179362,0.9454577,0.010124077
