Date Range,Average,Minimum,Maximum,Standard Deviation
"('2022-01-01', '2022-01-29')",274.66302,272.5546,275.8222,0.61740386
"('2022-01-29', '2022-02-26')",270.49576,268.5931,271.3822,0.5570924
"('2022-02-26', '2022-03-26')",271.995,271.03357,272.55118,0.36442646
"('2022-03-26', '2022-04-23')",280.54065,280.07422,282.5318,0.54111964
"('2022-04-23', '2022-05-21')",288.09393,286.84534,291.9655,1.129858
"('2022-05-21', '2022-06-18')",288.38123,287.1803,291.1657,0.83425516
"('2022-06-18', '2022-07-16')",291.47226,290.28726,294.5735,0.87556696
"('2022-07-16', '2022-08-13')",288.05603,279.35303,292.46454,3.7906852
"('2022-08-13', '2022-09-10')",290.98465,290.28726,292.76193,0.5732078
"('2022-09-10', '2022-10-08')",292.01498,291.3161,294.13937,0.593834
"('2022-10-08', '2022-11-05')",286.9255,286.63342,288.41418,0.37345627
"('2022-11-05', '2022-12-03')",279.15524,277.6816,279.93066,0.43922397
