Date Range,Average,Minimum,Maximum,Standard Deviation
"('2022-01-01', '2022-01-29')",0.84832436,0.84014493,0.8602372,0.0066073053
"('2022-01-29', '2022-02-26')",0.118322715,0.109444916,0.13744798,0.006369238
"('2022-02-26', '2022-03-26')",0.14359932,0.13784169,0.1483257,0.0039045385
"('2022-03-26', '2022-04-23')",0.2977009,0.29086304,0.31438273,0.0072623966
"('2022-04-23', '2022-05-21')",0.54425424,0.53666836,0.5502532,0.0050654914
"('2022-05-21', '2022-06-18')",0.10272463,0.097299255,0.1119636,0.0032675902
"('2022-06-18', '2022-07-16')",0.30865216,0.30506614,0.31491208,0.0029631208
"('2022-07-16', '2022-08-13')",0.09404891,0.09202259,0.09517256,0.0013152641
"('2022-08-13', '2022-09-10')",0.15412728,0.15317732,0.15463172,0.00042688588
"('2022-09-10', '2022-10-08')",0.103308424,0.10284037,0.10402355,0.00035717644
"('2022-10-08', '2022-11-05')",0.17142223,0.1690782,0.17256652,0.0011929012
"('2022-11-05', '2022-12-03')",0.60793346,0.6041842,0.6132194,0.0028911617
