Date Range,Average,Minimum,Maximum,Standard Deviation
"('2022-01-01', '2022-01-29')",270.65536,268.15903,271.45056,0.7203326
"('2022-01-29', '2022-02-26')",273.55606,273.163,275.56927,0.37909007
"('2022-02-26', '2022-03-26')",272.9187,270.9652,273.45694,0.43584782
"('2022-03-26', '2022-04-23')",282.39673,281.84134,283.88873,0.3337144
"('2022-04-23', '2022-05-21')",288.05414,287.36145,290.8376,0.74284476
"('2022-05-21', '2022-06-18')",290.41733,289.59,294.5222,0.735106
"('2022-06-18', '2022-07-16')",291.02533,288.87906,296.67557,1.9957372
"('2022-07-16', '2022-08-13')",294.8692,294.11203,296.42944,0.43348765
"('2022-08-13', '2022-09-10')",293.32422,292.97043,294.3342,0.30816737
"('2022-09-10', '2022-10-08')",290.36478,289.91812,292.5637,0.29320943
"('2022-10-08', '2022-11-05')",285.03717,284.69882,285.71054,0.113708176
"('2022-11-05', '2022-12-03')",280.0838,279.03857,280.33743,0.23333786
