Date Range,Average,Minimum,Maximum,Standard Deviation
"('2020-01-01', '2020-01-29')",272.45404,271.79236,272.85538,0.22242118
"('2020-01-29', '2020-02-26')",275.06604,274.80023,275.96234,0.14110608
"('2020-02-26', '2020-03-25')",276.7597,276.164,277.70212,0.27048162
"('2020-03-25', '2020-04-22')",280.73492,280.3135,282.08743,0.27886942
"('2020-04-22', '2020-05-20')",286.56122,284.0562,292.50558,2.2655244
"('2020-05-20', '2020-06-17')",282.05527,281.34915,284.3878,0.5080874
"('2020-06-17', '2020-07-15')",287.80762,286.83508,289.12515,0.50141585
"('2020-07-15', '2020-08-12')",292.03958,290.09244,294.77173,1.0378985
"('2020-08-12', '2020-09-09')",293.29175,292.91232,293.70187,0.14365384
"('2020-09-09', '2020-10-07')",288.14114,287.90833,288.48257,0.08331074
"('2020-10-07', '2020-11-04')",267.8979,265.26053,269.5809,0.7967992
"('2020-11-04', '2020-12-02')",279.24414,278.79932,279.5,0.15790707
"('2021-01-01', '2021-01-29')",274.47897,273.25528,274.84467,0.27610436
"('2021-01-29', '2021-02-26')",271.17944,269.70737,272.00085,0.2847633
"('2021-02-26', '2021-03-26')",279.43286,278.04733,284.26813,1.2032526
"('2021-03-26', '2021-04-23')",279.95258,279.688,280.54935,0.18854849
"('2021-04-23', '2021-05-21')",292.2816,291.1281,296.6072,0.84396064
"('2021-05-21', '2021-06-18')",287.79703,287.3922,288.67056,0.22861087
"('2021-06-18', '2021-07-16')",293.39407,291.528,297.8582,1.7264805
"('2021-07-16', '2021-08-13')",293.29572,292.51926,295.69458,0.6044621
"('2021-08-13', '2021-09-10')",291.97906,291.49042,293.24045,0.35415134
"('2021-09-10', '2021-10-08')",289.9709,289.65152,290.8034,0.18697605
"('2021-10-08', '2021-11-05')",289.9709,289.65152,290.8034,0.18697605
"('2021-11-05', '2021-12-03')",283.57062,283.33502,284.77744,0.16250874
