Date Range,Average,Minimum,Maximum,Standard Deviation
"('2017-01-01', '2017-01-19')",0.22831547,0.2263215,0.23111923,0.0010838739
"('2017-01-19', '2017-02-06')",0.23359795,0.22994807,0.2358754,0.0020542608
"('2017-02-06', '2017-02-24')",0.355323,0.27508074,0.3995704,0.039736938
"('2017-02-24', '2017-03-14')",0.13966371,0.13884476,0.14253978,0.0011697751
"('2017-03-14', '2017-04-01')",0.812119,0.8116101,0.81272036,0.0005000109
"('2017-04-01', '2017-04-19')",0.29151893,0.26742107,0.31839108,0.019901842
"('2017-04-19', '2017-05-07')",0.6510857,0.64823174,0.6535012,0.0019171041
"('2017-05-07', '2017-05-25')",0.7367555,0.73622245,0.73721606,0.00046840782
"('2017-05-25', '2017-06-12')",0.11168631,0.11011247,0.11397185,0.0013580609
"('2017-06-12', '2017-06-30')",0.14960848,0.14080542,0.17606734,0.014548353
"('2017-06-30', '2017-07-19')",0.6147893,0.605316,0.6364311,0.010837658
"('2017-07-19', '2017-08-06')",0.17986341,0.15235932,0.19587816,0.01521779
"('2017-08-06', '2017-08-24')",0.094658434,0.093766466,0.096077256,0.00091632653
"('2017-08-24', '2017-09-11')",0.16058733,0.16029309,0.16134752,0.00034694903
"('2017-09-11', '2017-09-29')",0.14150563,0.14103119,0.14218967,0.00051860325
"('2017-09-29', '2017-10-17')",0.091863945,0.09114192,0.09393241,0.0006795853
"('2017-10-17', '2017-11-04')",0.2303338,0.22766207,0.23186217,0.0014591186
"('2017-11-04', '2017-11-22')",0.8040018,0.80169743,0.80598694,0.0012015539
"('2017-11-22', '2017-12-10')",0.14659002,0.13727164,0.16903602,0.010971826
"('2017-12-10', '2017-12-28')",0.27317387,0.2712778,0.27752522,0.0020810475
"('2017-12-28', '2018-01-16')",0.31492567,0.30879882,0.3256545,0.0053982334
"('2018-01-16', '2018-02-03')",0.1995248,0.1883388,0.21830575,0.011612065
"('2018-02-03', '2018-02-21')",0.63653547,0.61360335,0.645659,0.008082333
"('2018-02-21', '2018-03-11')",0.50161326,0.49928778,0.50490206,0.0021338405
"('2018-03-11', '2018-03-29')",0.40458962,0.39380154,0.40648746,0.0028960854
"('2018-03-29', '2018-04-16')",0.9068939,0.8973203,0.91648734,0.004731641
"('2018-04-16', '2018-05-04')",0.36379328,0.34132332,0.37384322,0.009168426
"('2018-05-04', '2018-05-22')",0.4848566,0.47982362,0.48670977,0.002029365
"('2018-05-22', '2018-06-09')",0.1264125,0.10723919,0.13476217,0.008663894
"('2018-06-09', '2018-06-27')",0.1256071,0.12370511,0.12814601,0.0014773876
"('2018-06-27', '2018-07-16')",0.62333757,0.5896684,0.6407293,0.017880514
"('2018-07-16', '2018-08-03')",0.1211295,0.119122215,0.12680192,0.0024876944
"('2018-08-03', '2018-08-21')",0.09687952,0.09463008,0.099742025,0.001653639
"('2018-08-21', '2018-09-08')",0.14639659,0.1299948,0.15681027,0.009734154
"('2018-09-08', '2018-09-26')",0.70597,0.66317534,0.7492137,0.02016929
"('2018-09-26', '2018-10-14')",0.09300792,0.091146015,0.09551445,0.0013844537
"('2018-10-14', '2018-11-01')",0.46721435,0.4342424,0.4992907,0.02396241
"('2018-11-01', '2018-11-19')",0.74486846,0.68020594,0.7926661,0.022308443
"('2018-11-19', '2018-12-07')",0.11771935,0.11539437,0.11932039,0.0014437301
"('2018-12-07', '2018-12-25')",0.1187209,0.11765643,0.11948019,0.0006577378
"('2018-12-25', '2019-01-13')",0.12522481,0.12233664,0.12982816,0.0030109717
"('2019-01-13', '2019-01-31')",0.15207815,0.1396542,0.17075168,0.009749104
"('2019-01-31', '2019-02-18')",0.69432724,0.67444664,0.70730305,0.012335117
"('2019-02-18', '2019-03-08')",0.11654145,0.11549346,0.12161119,0.001520633
"('2019-03-08', '2019-03-26')",0.115871616,0.11269007,0.11909127,0.002532566
"('2019-03-26', '2019-04-13')",0.7677093,0.7565254,0.78434616,0.010085482
"('2019-04-13', '2019-05-01')",0.14162685,0.13795753,0.14417374,0.0014506418
"('2019-05-01', '2019-05-19')",0.87598675,0.87291384,0.8820975,0.0028854853
"('2019-05-19', '2019-06-06')",0.7355366,0.63994706,0.7717639,0.037620757
"('2019-06-06', '2019-06-24')",0.13248274,0.11365234,0.14883347,0.010890808
"('2019-06-24', '2019-07-13')",0.14084855,0.13992932,0.14222033,0.000878071
"('2019-07-13', '2019-07-31')",0.15424728,0.14891681,0.16303186,0.0054567293
"('2019-07-31', '2019-08-18')",0.41979378,0.40205446,0.44436505,0.0155745065
"('2019-08-18', '2019-09-05')",0.14917405,0.14708154,0.15195963,0.002032037
"('2019-09-05', '2019-09-23')",0.24843016,0.23591572,0.2777062,0.0087180305
"('2019-09-23', '2019-10-11')",0.3452108,0.3205916,0.3850277,0.018029446
"('2019-10-11', '2019-10-29')",0.7021929,0.6573183,0.71937865,0.025199426
"('2019-10-29', '2019-11-16')",0.11720413,0.115887806,0.11983508,0.000956836
"('2019-11-16', '2019-12-04')",0.1639342,0.15879804,0.17332175,0.0053826286
"('2019-12-04', '2019-12-22')",0.55142593,0.5406793,0.56058127,0.004143198
"('2019-12-22', '2020-01-10')",0.6513012,0.64091146,0.67237425,0.008994186
"('2020-01-10', '2020-01-28')",0.49994728,0.4862961,0.5174622,0.0099931
"('2020-01-28', '2020-02-15')",0.12814374,0.12410227,0.13664702,0.0045231325
"('2020-02-15', '2020-03-04')",0.31572434,0.1939675,0.38322273,0.053052995
"('2020-03-04', '2020-03-22')",0.0964087,0.093834616,0.09721507,0.0009880702
"('2020-03-22', '2020-04-09')",0.7012129,0.6576699,0.7820048,0.03687252
"('2020-04-09', '2020-04-27')",0.8623953,0.83593684,0.90201277,0.019112354
"('2020-04-27', '2020-05-15')",0.47362253,0.41903874,0.5080073,0.022428192
"('2020-05-15', '2020-06-02')",0.09229224,0.08842296,0.09339327,0.0013888017
"('2020-06-02', '2020-06-20')",0.1259058,0.12268599,0.12710899,0.00076004374
"('2020-06-20', '2020-07-09')",0.12687457,0.122849986,0.13088177,0.0021970025
"('2020-07-09', '2020-07-27')",0.9486809,0.905925,0.9728256,0.013355988
"('2020-07-27', '2020-08-14')",0.18688889,0.1710432,0.20022063,0.009235393
"('2020-08-14', '2020-09-01')",0.32122678,0.28356248,0.38795537,0.031089073
"('2020-09-01', '2020-09-19')",0.086533025,0.08169449,0.08852564,0.0018287593
"('2020-09-19', '2020-10-07')",0.1814415,0.17009723,0.18803737,0.006102445
"('2020-10-07', '2020-10-25')",0.1437701,0.1424139,0.14515685,0.0007471051
"('2020-10-25', '2020-11-12')",0.84343785,0.8421137,0.8480459,0.0013576547
"('2020-11-12', '2020-11-30')",0.58792776,0.5737867,0.59885436,0.006117652
"('2020-11-30', '2020-12-18')",0.36978152,0.3504618,0.38726127,0.011662796
"('2020-12-18', '2021-01-06')",0.28735977,0.2691562,0.3164798,0.012426754
"('2021-01-06', '2021-01-24')",0.10992121,0.10789199,0.11263656,0.001411694
"('2021-01-24', '2021-02-11')",0.21197374,0.20179221,0.21981739,0.005554417
"('2021-02-11', '2021-03-01')",0.85454696,0.84739876,0.8621382,0.0057252874
"('2021-03-01', '2021-03-19')",0.103263065,0.09875364,0.107851736,0.0032122012
"('2021-03-19', '2021-04-06')",0.39241156,0.34506392,0.44478664,0.021863857
"('2021-04-06', '2021-04-24')",0.107572615,0.10585136,0.11147223,0.001326318
"('2021-04-24', '2021-05-12')",0.10197345,0.09241297,0.11636655,0.008502885
"('2021-05-12', '2021-05-30')",0.721646,0.70874524,0.7326155,0.009065958
"('2021-05-30', '2021-06-17')",0.112079106,0.107928604,0.120817505,0.0029522853
"('2021-06-17', '2021-07-06')",0.7203665,0.67816687,0.7671558,0.030796362
"('2021-07-06', '2021-07-24')",0.09933448,0.09825677,0.10200502,0.0010554297
"('2021-07-24', '2021-08-11')",0.8061646,0.8026702,0.8079726,0.0018645911
"('2021-08-11', '2021-08-29')",0.47372058,0.4415294,0.5196696,0.022384329
"('2021-08-29', '2021-09-16')",0.4207714,0.41306844,0.42608938,0.0053678933
"('2021-09-16', '2021-10-04')",0.17106242,0.16991694,0.17223975,0.0005306948
"('2021-10-04', '2021-10-22')",0.44785485,0.2594389,0.4959138,0.06040814
"('2021-10-22', '2021-11-09')",0.13272956,0.13176213,0.13576376,0.0011776559
"('2021-11-09', '2021-11-27')",0.7466548,0.731256,0.75102246,0.006036647
"('2021-11-27', '2021-12-15')",0.1657552,0.16180019,0.17274648,0.0028345995
"('2021-12-15', '2022-01-03')",0.41128078,0.40977973,0.41384664,0.001165219
"('2022-01-03', '2022-01-21')",0.14010447,0.13307685,0.16524096,0.008896895
"('2022-01-21', '2022-02-08')",0.72879964,0.69056886,0.7729496,0.031196909
"('2022-02-08', '2022-02-26')",0.118322715,0.109444916,0.13744798,0.006369238
"('2022-02-26', '2022-03-16')",0.62672263,0.5580405,0.67279786,0.03924872
"('2022-03-16', '2022-04-03')",0.3726136,0.36925384,0.37761357,0.0027482093
"('2022-04-03', '2022-04-21')",0.2175432,0.213368,0.22251335,0.0027834969
"('2022-04-21', '2022-05-09')",0.10657153,0.103845,0.115813255,0.0031028348
"('2022-05-09', '2022-05-27')",0.17460312,0.17127232,0.17880318,0.0025989562
"('2022-05-27', '2022-06-14')",0.27015004,0.1883175,0.3898513,0.063607424
"('2022-06-14', '2022-07-03')",0.08876079,0.074576564,0.12210355,0.011842444
"('2022-07-03', '2022-07-21')",0.14326124,0.13356657,0.14737645,0.0036006977
"('2022-07-21', '2022-08-08')",0.16903977,0.16177037,0.18249446,0.008495103
"('2022-08-08', '2022-08-26')",0.6444689,0.5951969,0.6977873,0.02884198
"('2022-08-26', '2022-09-13')",0.63417345,0.6312724,0.6436961,0.0031682674
"('2022-09-13', '2022-10-01')",0.63815635,0.63123155,0.6445017,0.0037466532
"('2022-10-01', '2022-10-19')",0.08976041,0.08917444,0.09047748,0.00037552338
"('2022-10-19', '2022-11-06')",0.10182112,0.10088789,0.102952115,0.00078888086
"('2022-11-06', '2022-11-24')",0.16850172,0.16766837,0.16915572,0.0005490311
"('2022-11-24', '2022-12-12')",0.12145163,0.118758716,0.12452865,0.0015984606
