Date Range,Average,Minimum,Maximum,Standard Deviation
"('2017-01-01', '2017-01-19')",274.06277,272.45206,274.46185,0.3300067
"('2017-01-19', '2017-02-06')",271.67953,270.4867,272.07263,0.26788127
"('2017-02-06', '2017-02-24')",271.67953,270.4867,272.07263,0.26788127
"('2017-02-24', '2017-03-14')",246.22882,244.14742,247.58253,0.631162
"('2017-03-14', '2017-04-01')",275.39038,274.7558,275.8017,0.20342432
"('2017-04-01', '2017-04-19')",275.35016,274.13028,277.25095,0.6008839
"('2017-04-19', '2017-05-07')",285.7327,285.52597,286.60266,0.1389555
"('2017-05-07', '2017-05-25')",257.3791,256.20963,259.091,0.45482025
"('2017-05-25', '2017-06-12')",287.53036,286.7838,289.361,0.44048497
"('2017-06-12', '2017-06-30')",289.37003,288.2091,291.89716,0.55640495
"('2017-06-30', '2017-07-19')",292.61908,289.5524,295.3186,0.690338
"('2017-07-19', '2017-08-06')",293.79254,292.64914,297.0994,0.76665896
"('2017-08-06', '2017-08-24')",294.02997,293.54123,295.8689,0.47818944
"('2017-08-24', '2017-09-11')",289.0808,288.78677,290.29752,0.22843184
"('2017-09-11', '2017-09-29')",290.53906,289.71988,294.13254,0.66280586
"('2017-09-29', '2017-10-17')",284.6149,283.77594,285.61484,0.35256085
"('2017-10-17', '2017-11-04')",287.15033,286.83167,288.1715,0.23033866
"('2017-11-04', '2017-11-22')",278.9003,278.36523,279.1958,0.12087095
"('2017-11-22', '2017-12-10')",277.61862,277.06296,277.80807,0.13121107
"('2017-12-10', '2017-12-28')",268.9322,266.51154,271.12244,0.9525503
"('2017-12-28', '2018-01-16')",259.95132,258.62274,260.56076,0.3948809
"('2018-01-16', '2018-02-03')",263.389,263.073,264.2659,0.19619201
"('2018-02-03', '2018-02-21')",274.05716,273.3715,274.32172,0.18057841
"('2018-02-21', '2018-03-11')",261.67432,260.97092,262.79614,0.37091306
"('2018-03-11', '2018-03-29')",250.11258,248.11574,253.11288,1.4499052
"('2018-03-29', '2018-04-16')",277.18933,277.0151,277.99948,0.14711958
"('2018-04-16', '2018-05-04')",286.71332,282.62408,292.50558,3.1141992
"('2018-05-04', '2018-05-22')",249.03494,247.6338,250.10844,0.53777385
"('2018-05-22', '2018-06-09')",273.19415,272.13416,275.5351,0.68434834
"('2018-06-09', '2018-06-27')",291.99637,291.32294,295.18872,0.5924736
"('2018-06-27', '2018-07-16')",289.83887,287.49133,291.15204,0.7578668
"('2018-07-16', '2018-08-03')",297.07123,294.05392,303.94226,2.8196542
"('2018-08-03', '2018-08-21')",287.74792,283.9571,292.38593,1.9819926
"('2018-08-21', '2018-09-08')",296.3479,295.63647,298.23758,0.6398755
"('2018-09-08', '2018-09-26')",293.9038,293.20285,296.99344,0.44963866
"('2018-09-26', '2018-10-14')",243.56703,243.1733,244.41061,0.19060346
